DATA (YYYY-MM-DD);HORA (UTC);PRECIPITA��O TOTAL, HOR�RIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESS�O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESS�O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m�);TEMPERATURA DO AR - BULBO SECO, HORARIA (�C);TEMPERATURA DO PONTO DE ORVALHO (�C);TEMPERATURA M�XIMA NA HORA ANT. (AUT) (�C);TEMPERATURA M�NIMA NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (�C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIRE��O HORARIA (gr) (� (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1009,2;1009,2;1008,6;;24,9;23,6;25,5;24,8;24;23,5;93;91;92;122;2,8;,2;
2023/01/01;0100 UTC;0;1010,2;1010,2;1009,2;,3;25;23,8;25,1;24,9;23,9;23,5;93;92;93;147;1,5;,1;
2023/01/01;0200 UTC;0;1009,7;1010,3;1009,7;;24,6;23,5;25;24,6;23,8;23,4;94;92;94;114;1,7;,1;
2023/01/01;0300 UTC;0;1009,1;1009,7;1009,1;;24,5;23,7;24,6;24,5;23,7;23,4;95;94;95;142;2,4;0;
2023/01/01;0400 UTC;0;1008,5;1009,1;1008,5;;24,4;23,8;24,6;24,3;23,8;23,7;97;95;97;161;1,5;0;
2023/01/01;0500 UTC;0;1007,5;1008,5;1007,5;;24,2;23,8;24,4;24,2;23,9;23,7;97;97;97;141;1,6;,2;
2023/01/01;0600 UTC;0;1006,8;1007,5;1006,8;;24,2;23,8;24,2;24,1;23,8;23,7;98;97;98;156;1,5;0;
2023/01/01;0700 UTC;0;1006,8;1007;1006,8;;23,9;23,5;24,2;23,9;23,8;23,5;98;98;98;123;1;0;
2023/01/01;0800 UTC;0;1006,9;1006,9;1006,7;;24;23,6;24;23,9;23,7;23,5;98;98;98;117;1,2;0;
2023/01/01;0900 UTC;0;1007,3;1007,3;1006,9;;23,8;23,5;24;23,8;23,6;23,5;98;98;98;105;2,1;,1;
2023/01/01;1000 UTC;0;1008,4;1008,4;1007,3;84,7;24,3;23,7;24,3;23,8;23,7;23,4;98;97;97;122;2,3;,2;
2023/01/01;1100 UTC;0;1009,5;1009,5;1008,4;421,7;25,8;24,5;25,9;24,3;24,7;23,8;97;92;92;157;2,3;,5;
2023/01/01;1200 UTC;0;1010;1010;1009,5;877,6;28,1;24,8;28,6;25,7;25,7;24;93;80;82;100;4,3;1,8;
2023/01/01;1300 UTC;0;1010;1010,1;1009,9;1463,4;29,7;25,7;30,4;28,1;26,3;24,3;84;75;79;90;4,9;1,4;
2023/01/01;1400 UTC;0;1009,6;1010;1009,6;1326,1;30,3;24,2;31,1;28,3;26,1;24;80;69;70;110;5,5;1,5;
2023/01/01;1500 UTC;0;1009;1009,6;1009;2344,7;30,4;24,3;33;30,1;26,6;23,9;75;61;70;70;4,5;1;
2023/01/01;1600 UTC;,6;1007,7;1009;1007,7;2430,4;32,3;25,7;32,5;29,6;27,9;24,3;83;66;68;101;5;1,6;
2023/01/01;1700 UTC;0;1006,7;1007,7;1006,7;2403,7;30,7;24,8;32,5;30,2;25,9;23,4;73;62;71;115;6,1;1,7;
2023/01/01;1800 UTC;0;1006,2;1006,7;1005,8;2393,8;29,6;24,7;32,8;29,6;25,9;23,2;77;59;75;215;4,4;,8;
2023/01/01;1900 UTC;0;1006,1;1006,2;1005,5;437,4;27,9;23,2;29,6;27,1;24,6;22,4;78;70;76;358;7,7;1,2;
2023/01/01;2000 UTC;6,6;1006,1;1007;1006;297,4;24,4;23,7;27,9;23,9;23,9;22,5;96;75;96;115;8,4;,5;
2023/01/01;2100 UTC;0;1007,2;1007,2;1005,9;278,7;25,7;24,3;25,7;24,3;24,5;23,5;96;91;92;14;3,2;,8;
2023/01/01;2200 UTC;0;1007,7;1007,7;1007;13,5;25,8;23,8;25,9;25,6;24,3;23,7;92;88;89;3;4;,8;
2023/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0000 UTC;0;1009,1;1009,2;1008,5;2,1;25,9;23,9;25,9;25,6;24;23,8;91;89;89;23;3,5;,8;
2023/01/02;0100 UTC;0;1009,9;1009,9;1009,1;1,8;26;23,8;26,1;25,9;23,9;23,8;89;87;88;24;3,7;,4;
2023/01/02;0200 UTC;0;1009,8;1010,1;1009,8;;25,6;24,1;26;25,6;24,1;23,8;91;88;91;10;2,5;,2;
2023/01/02;0300 UTC;0;1010;1010,1;1009,8;;25,5;24;25,7;25,5;24,1;23,9;92;90;92;297;2,1;0;
2023/01/02;0400 UTC;0;1009,4;1010,1;1009,4;;25,2;23,9;25,5;25,2;24,1;23,9;93;91;93;17;1,1;0;
2023/01/02;0500 UTC;0;1008,7;1009,4;1008,7;;24,8;24,1;25,2;24,8;24,2;23,9;96;93;96;273;0;0;
2023/01/02;0600 UTC;0;1008,5;1008,7;1008,5;;24,5;24;24,9;24,4;24,2;23,9;97;95;97;151;0;0;
2023/01/02;0700 UTC;0;1008,1;1008,5;1008,1;;24,2;23,8;24,5;24,1;24;23,7;98;97;98;146;0;0;
2023/01/02;0800 UTC;0;1008,1;1008,2;1008,1;;24,1;23,8;24,2;24;23,9;23,6;98;98;98;41;0;0;
2023/01/02;0900 UTC;0;1008,3;1008,3;1008,1;;24;23,7;24,2;23,9;23,8;23,5;98;98;98;73;1,2;0;
2023/01/02;1000 UTC;0;1008,7;1008,7;1008,3;90,4;24,7;24,2;24,7;24;24,2;23,6;98;97;97;84;2,3;,2;
2023/01/02;1100 UTC;0;1009,2;1009,2;1008,7;438,8;27,9;24,8;27,9;24,7;24,9;24,1;97;83;83;56;4,3;,9;
2023/01/02;1200 UTC;0;1009,9;1009,9;1009,2;805,6;30,6;25,4;30,6;27,8;26;24,2;84;73;74;74;5,1;1,3;
2023/01/02;1300 UTC;0;1010,2;1010,3;1009,9;1336,4;30,6;24,9;30,6;28,3;25,5;24;79;71;72;71;6,8;1,4;
2023/01/02;1400 UTC;0;1010;1010,2;1009,9;2191,8;31,3;24;32,3;29,5;25,8;23,5;76;61;65;59;7,5;1,4;
2023/01/02;1500 UTC;0;1009,3;1010;1009,2;2689,4;32,9;23,4;33,7;30,8;25,8;23,2;69;58;58;77;6,1;2,4;
2023/01/02;1600 UTC;0;1008;1009,3;1007,9;2871,1;32;23,1;33,4;31,3;25,4;22,6;65;57;59;37;6,3;1,2;
2023/01/02;1700 UTC;0;1007,2;1008;1007;1625,9;28,9;25,3;33,4;28,5;25,4;22,6;81;56;81;348;6,5;1,5;
2023/01/02;1800 UTC;4,8;1006,6;1007,6;1006,6;1079,6;28,4;26,4;29,2;25;27,3;22,4;96;68;89;75;6,5;,8;
2023/01/02;1900 UTC;,6;1005,4;1006,6;1005,4;984,4;28;25,5;29,1;27,4;27,3;24,4;91;79;87;22;4,4;1,6;
2023/01/02;2000 UTC;0;1005,5;1005,7;1005,4;834,9;27,9;24,3;30,3;27,7;25,8;23,7;86;74;81;58;5,8;1,6;
2023/01/02;2100 UTC;0;1006;1006;1005,3;419,9;27,3;23,7;28,9;27,3;25,2;23,7;84;78;81;47;5,8;,3;
2023/01/02;2200 UTC;0;1006,9;1007;1006;14,3;26,5;23,6;27,3;26,5;23,8;23,4;84;80;84;15;3,6;,3;
2023/01/02;2300 UTC;0;1007,8;1007,8;1006,9;;26;23,9;26,5;26;23,9;23,5;88;83;88;30;3,3;,5;
2023/01/03;0000 UTC;0;1008,6;1008,7;1007,8;;26,1;24;26,2;26;24;23,8;88;87;88;43;3,4;,3;
2023/01/03;0100 UTC;0;1008,9;1008,9;1008,5;;25,9;24;26,2;25,9;24;23,9;89;87;89;33;4,5;,4;
2023/01/03;0200 UTC;0;1008,9;1009;1008,8;;25,5;23,9;26;25,5;23,9;23,8;91;89;91;45;3,5;,1;
2023/01/03;0300 UTC;0;1008,8;1009;1008,8;;25,3;23,8;25,5;25,2;23,9;23,7;92;91;92;35;3,2;,3;
2023/01/03;0400 UTC;0;1008,2;1008,8;1008,2;;25;23,6;25,3;25;23,8;23,6;92;91;92;69;2,6;,2;
2023/01/03;0500 UTC;0;1007,8;1008,2;1007,8;;24,4;23,5;25;24,4;23,7;23,5;95;92;95;82;2,6;,2;
